first image, second image, featureCountCombined, trueFeatureCountCombined, Fgt: trueSampsonErr, Fgt: trueErrorStdDev, Fgt: trueRootSampsonErr, Fgt: trueRootErrorStdDev, refined F: inlierCountCombined, refined F: trueInlierCountCombined, refined F: sampsonErrCombined, refined F: trueSampsonErr, refined F: trueSampsonErrStdDev, refined F: trueRootSampsonErr, refined F: trueRootSampsonErrStdDev, F_Points: featureCountGood, F_Points: trueFeatureCountGood, F_Points: featureCountComplete, F_Points: trueFeatureCountComplete, F_Points: inlierCountOwnGood, F_Points: trueInlierCountOwnGood, F_Points: inlierCountOwnComplete, F_Points: trueInlierCountOwnComplete, F_Points: inlierCountCombined, F_Points: trueInlierCountCombined, F_Points: sampsonErrOwn, F_Points: sampsonErrComplete, F_Points: sampsonErrCombined, F_Points: sampsonErrStdDevCombined, F_Points: trueSampsonErr, F_Points: trueSampsonErrStdDev, F_Points: trueRootSampsonErr, F_Points: trueRootSampsonErrStdDev, F_Points: quality, H_Lines: featureCountGood, H_Lines: trueFeatureCountGood, H_Lines: featureCountComplete, H_Lines: trueFeatureCountComplete, H_Lines: inlierCountOwnGood, H_Lines: trueInlierCountOwnGood, H_Lines: inlierCountOwnComplete, H_Lines: trueInlierCountOwnComplete, H_Lines: inlierCountCombined, H_Lines: trueInlierCountCombined, H_Lines: sampsonErrOwn, H_Lines: sampsonErrComplete, H_Lines: sampsonErrCombined, H_Lines: sampsonErrStdDevCombined, H_Lines: trueSampsonErr, H_Lines: trueSampsonErrStdDev, H_Lines: trueRootSampsonErr, H_Lines: trueRootSampsonErrStdDev, H_Lines: quality, H_Points: featureCountGood, H_Points: trueFeatureCountGood, H_Points: featureCountComplete, H_Points: trueFeatureCountComplete, H_Points: inlierCountOwnGood, H_Points: trueInlierCountOwnGood, H_Points: inlierCountOwnComplete, H_Points: trueInlierCountOwnComplete, H_Points: inlierCountCombined, H_Points: trueInlierCountCombined, H_Points: sampsonErrOwn, H_Points: sampsonErrComplete, H_Points: sampsonErrCombined, H_Points: sampsonErrStdDevCombined, H_Points: trueSampsonErr, H_Points: trueSampsonErrStdDev, H_Points: trueRootSampsonErr, H_Points: trueRootSampsonErrStdDev, H_Points: quality, time (min)
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2821,2284,0.634262,0.634262,0.552678,0.552678,1975,1718,7272.57,17.5156,84.4976,2.3449,85.8492,470,255,3990,1798,300,143,985,767,1070,822,1.19136,43163.3,530.462,1271.78,571.336,1139.56,14.8651,1268.23,0.741604,939,-1,5854,-1,456,420,1050,882,1582,1505,54.9313,-1,6707.96,31969.7,210.337,451.214,7.35322,494.788,0.814267,470,257,3990,1811,118,117,1134,564,864,844,12.3863,84500.5,1916.85,4112.45,1421.77,2233.75,25.0525,2634.64,0.491897,48.85
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2748,2259,0.546605,0.546605,0.491144,0.491144,1824,1637,2742.85,47.4263,180.986,3.15915,186.323,470,255,3990,1798,300,143,985,767,1087,869,1.19136,43163.3,1081.49,2023.92,1267,2132.39,23.334,2468.7,0.711505,939,-1,5854,-1,494,435,950,808,1702,1554,4.60438,-1,2093.19,9457.17,49.0542,185.937,3.29943,191.486,0.901959,469,257,3990,1817,129,129,1318,656,837,747,18.0658,120199,9115.24,44410.7,616.772,794.176,18.0273,994.67,0.416407,12.4667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2874,2542,0.448604,0.448604,0.47757,0.47757,1964,1939,683.431,26.8248,154.552,2.17754,156.506,470,255,3990,1798,300,143,985,767,1106,862,1.19136,43163.3,786.307,2145.9,831.777,1472.07,18.7248,1681.76,0.657709,939,-1,5854,-1,476,436,938,876,1936,1910,4.02185,-1,832.089,3744.26,28.7621,148.445,2.2928,150.787,0.988166,470,256,3990,1811,124,124,872,433,960,923,94.0473,145924,4161.2,21343.9,78.5255,376.72,5.85346,383.668,0.43382,6.01667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3358,2861,0.731931,0.731931,0.544037,0.544037,2899,2853,4500.18,0.412057,1.12232,0.387928,1.12258,470,255,3990,1798,300,143,985,767,1027,790,1.19136,43163.3,1046.85,1858.19,1206.99,1967.39,24.1308,2295.71,0.576179,939,-1,5854,-1,456,393,1084,932,2189,2080,21.4684,-1,10846.3,59841.5,275.418,642.889,7.63549,696.447,0.81773,470,256,3990,1806,124,123,2168,1082,2126,2121,2.03016,45229.3,3937.63,23180.1,8.21987,19.631,2.11868,20.5575,0.82865,33.5333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3003,2600,0.722995,0.722995,0.530683,0.530683,2030,1889,6103.09,25.1715,83.1086,2.86499,86.0513,470,255,3990,1798,300,143,985,767,999,771,1.19136,43163.3,1142.17,2158.41,1230.61,2028.63,23.9943,2360.47,0.625179,939,-1,5854,-1,458,402,1128,1029,1883,1864,19.4601,-1,7585.38,37357.1,295.091,653.699,8.09036,713.949,0.828574,470,257,3990,1809,106,105,760,378,1213,1175,4.20927,34372.7,6166.69,32083.1,80.463,180.343,5.91717,195.148,0.551423,9.65
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3354,2890,0.295415,0.295415,0.373471,0.373471,2890,2888,3492.79,0.170535,0.746883,0.21646,0.748294,470,255,3990,1798,300,143,985,767,1105,888,1.19136,43163.3,705.327,1491.49,804.35,1583.88,18.1607,1768.32,0.516681,939,-1,5854,-1,526,460,1338,1206,2338,2336,26.3086,-1,9123.57,51691.5,43.2574,157.761,2.59022,162.92,0.682155,470,257,3990,1809,124,124,1136,568,2800,2798,1.0442,39443.7,2868.85,16878,1.78,7.08529,0.906801,7.13891,0.847653,14.5333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3259,2869,0.270086,0.270086,0.354054,0.354054,2870,2868,4400.87,0.198488,0.711857,0.258814,0.714409,470,255,3990,1798,300,143,985,767,1132,915,1.19136,43163.3,1061.87,1963.8,1103.82,2059.71,21.1399,2327.02,0.560815,939,-1,5854,-1,494,422,1174,1086,2138,2067,9.83914,-1,3091.3,15485.8,211.396,509.532,6.51157,549.195,0.747269,470,256,3990,1821,125,125,1624,811,2516,2513,0.380076,47761.4,6281.58,35913,4.07626,8.48109,1.35932,8.9058,0.832254,8.76667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2747,2318,0.681995,0.681995,0.545168,0.545168,1992,1809,572.574,10.6793,23.8745,1.77201,25.4826,470,255,3990,1798,300,143,985,767,1225,944,1.19136,43163.3,620.975,1635.66,708.821,1744.46,15.3521,1877.3,0.703415,939,-1,5854,-1,458,380,838,723,1949,1791,1.4463,-1,630.926,3206.17,11.4148,25.0639,1.78431,26.8512,0.995874,470,257,3990,1808,98,97,1274,637,1612,1592,8.97279,48936.8,9869.04,49061.1,14.3476,60.8664,2.56839,61.9962,0.672978,7.18333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3034,2428,0.948056,0.948056,0.659045,0.659045,2448,2396,4352.06,0.918217,2.21951,0.632217,2.23787,470,255,3990,1798,300,143,985,767,1203,925,1.19136,43163.3,575.335,1499.97,664.85,1634.19,14.4672,1758.91,0.619924,939,-1,5854,-1,486,376,1082,877,1899,1718,56.0221,-1,5930.09,32066.8,35.0177,122.332,2.83181,126.497,0.67981,470,256,3990,1805,138,137,1488,739,2296,2256,1.4514,46422.4,3816.12,21313.3,2.89931,9.74682,1.14534,9.90344,0.828636,33.5
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3059,2611,0.746769,0.746769,0.563324,0.563324,2221,2058,205.617,209.243,651.308,5.78299,682.359,470,255,3990,1798,300,143,985,767,1543,1326,1.19136,43163.3,641.921,1743.21,648.942,1832.24,12.264,1939.75,0.865498,939,-1,5854,-1,496,455,1020,902,1633,1555,651.098,-1,8263.74,40209.2,530.063,1033.45,12.7571,1155.74,0.806967,470,257,3990,1814,91,91,896,448,1037,972,8.72421,53448.1,351.069,1689.62,87.0356,153.59,6.72213,173.328,0.708605,25.45
